Symbol,Signal,Price,EMA10,EMA20,EMA40,Status
TEAM,🔴 BEARISH (Below All EMAs),69.97,84.16,96.61,113.92,❌ Price < EMA10 < EMA20 < EMA40
APO,🔴 BEARISH (Below All EMAs),111.6,122.4,127.07,131.61,❌ Price < EMA10 < EMA20 < EMA40
ELV,🔴 BEARISH (Below All EMAs),338.77,341.69,343.85,346.07,❌ Price < EMA10 < EMA20 < EMA40
TDG,🔴 BEARISH (Below All EMAs),1310.7,1319.45,1332.65,1342.63,❌ Price < EMA10 < EMA20 < EMA40
ABNB,🔴 BEARISH (Below All EMAs),120.49,123.55,125.09,126.97,❌ Price < EMA10 < EMA20 < EMA40
CSGP,🔴 BEARISH (Below All EMAs),48.73,49.44,52.48,57.08,❌ Price < EMA10 < EMA20 < EMA40
DASH,🔴 BEARISH (Below All EMAs),165.29,174.46,183.6,196.17,❌ Price < EMA10 < EMA20 < EMA40
NTAP,🔴 BEARISH (Below All EMAs),99.71,101.34,101.56,103.24,❌ Price < EMA10 < EMA20 < EMA40
MCO,🔴 BEARISH (Below All EMAs),440.55,444.39,459.53,477.1,❌ Price < EMA10 < EMA20 < EMA40
AON,🔴 BEARISH (Below All EMAs),319.76,324.23,329.09,335.5,❌ Price < EMA10 < EMA20 < EMA40
HOOD,🔴 BEARISH (Below All EMAs),72.17,77.57,84.53,95.37,❌ Price < EMA10 < EMA20 < EMA40
LULU,🔴 BEARISH (Below All EMAs),177.49,179.69,181.53,185.45,❌ Price < EMA10 < EMA20 < EMA40
VRSN,🔴 BEARISH (Below All EMAs),210.96,219.02,226.25,233.98,❌ Price < EMA10 < EMA20 < EMA40
TROW,🔴 BEARISH (Below All EMAs),92.3,94.95,97.28,99.8,❌ Price < EMA10 < EMA20 < EMA40
GPC,🔴 BEARISH (Below All EMAs),116.03,128.91,133.32,133.72,❌ Price < EMA10 < EMA20 < EMA40
HUM,🔴 BEARISH (Below All EMAs),181.8,188.03,199.35,218.03,❌ Price < EMA10 < EMA20 < EMA40
LDOS,🔴 BEARISH (Below All EMAs),172.18,176.03,180.43,184.16,❌ Price < EMA10 < EMA20 < EMA40
BR,🔴 BEARISH (Below All EMAs),176.26,178.06,185.31,197.02,❌ Price < EMA10 < EMA20 < EMA40
PTC,🔴 BEARISH (Below All EMAs),149.5,154.39,156.86,162.04,❌ Price < EMA10 < EMA20 < EMA40
CDNS,🔴 BEARISH (Below All EMAs),283.99,292.86,295.99,302.81,❌ Price < EMA10 < EMA20 < EMA40
WST,🔴 BEARISH (Below All EMAs),242.56,243.78,245.63,251.62,❌ Price < EMA10 < EMA20 < EMA40
NOW,🔴 BEARISH (Below All EMAs),99.58,105.68,111.6,123.75,❌ Price < EMA10 < EMA20 < EMA40
ADBE,🔴 BEARISH (Below All EMAs),246.52,261.47,272.79,290.73,❌ Price < EMA10 < EMA20 < EMA40
CRWD,🔴 BEARISH (Below All EMAs),351.01,402.04,416.81,437.41,❌ Price < EMA10 < EMA20 < EMA40
GEN,🔴 BEARISH (Below All EMAs),21.63,22.93,23.59,24.5,❌ Price < EMA10 < EMA20 < EMA40
BX,🔴 BEARISH (Below All EMAs),111.72,126.49,132.47,139.09,❌ Price < EMA10 < EMA20 < EMA40
ERIE,🔴 BEARISH (Below All EMAs),265.08,275.86,278.25,281.13,❌ Price < EMA10 < EMA20 < EMA40
KKR,🔴 BEARISH (Below All EMAs),91.81,101.58,106.64,113.43,❌ Price < EMA10 < EMA20 < EMA40
J,🔴 BEARISH (Below All EMAs),132.4,137.82,138.47,138.78,❌ Price < EMA10 < EMA20 < EMA40
TRMB,🔴 BEARISH (Below All EMAs),65.07,66.62,67.98,70.96,❌ Price < EMA10 < EMA20 < EMA40
CDW,🔴 BEARISH (Below All EMAs),121.29,127.09,129.35,132.3,❌ Price < EMA10 < EMA20 < EMA40
INVH,🔴 BEARISH (Below All EMAs),25.45,26.23,26.48,26.73,❌ Price < EMA10 < EMA20 < EMA40
ICE,🔴 BEARISH (Below All EMAs),152.75,156.37,160.18,162.26,❌ Price < EMA10 < EMA20 < EMA40
PODD,🔴 BEARISH (Below All EMAs),246.23,248.17,253.77,265.86,❌ Price < EMA10 < EMA20 < EMA40
ADP,🔴 BEARISH (Below All EMAs),207.33,217.7,227.04,238.37,❌ Price < EMA10 < EMA20 < EMA40
FISV,🔴 BEARISH (Below All EMAs),58.61,61.06,62.04,64.65,❌ Price < EMA10 < EMA20 < EMA40
SNPS,🔴 BEARISH (Below All EMAs),421.98,435.88,446.7,457.73,❌ Price < EMA10 < EMA20 < EMA40
ORLY,🔴 BEARISH (Below All EMAs),94.1,94.24,94.82,95.25,❌ Price < EMA10 < EMA20 < EMA40
EFX,🔴 BEARISH (Below All EMAs),191.61,194.55,197.64,203.33,❌ Price < EMA10 < EMA20 < EMA40
BSX,🔴 BEARISH (Below All EMAs),74.38,76.35,80.04,85.24,❌ Price < EMA10 < EMA20 < EMA40
AJG,🔴 BEARISH (Below All EMAs),213.58,218.08,226.54,237.11,❌ Price < EMA10 < EMA20 < EMA40
MET,🔴 BEARISH (Below All EMAs),74.79,77.52,77.54,77.7,❌ Price < EMA10 < EMA20 < EMA40
MSCI,🔴 BEARISH (Below All EMAs),539.87,541.43,551.87,560.78,❌ Price < EMA10 < EMA20 < EMA40
LVS,🔴 BEARISH (Below All EMAs),56.0,57.38,57.8,59.03,❌ Price < EMA10 < EMA20 < EMA40
PRU,🔴 BEARISH (Below All EMAs),99.76,102.76,104.28,106.21,❌ Price < EMA10 < EMA20 < EMA40
EBAY,🔴 BEARISH (Below All EMAs),82.62,84.58,86.26,87.39,❌ Price < EMA10 < EMA20 < EMA40
ARES,🔴 BEARISH (Below All EMAs),113.92,129.17,136.63,145.57,❌ Price < EMA10 < EMA20 < EMA40
HPE,🔴 BEARISH (Below All EMAs),20.22,21.78,22.1,22.37,❌ Price < EMA10 < EMA20 < EMA40
CPRT,🔴 BEARISH (Below All EMAs),35.72,37.66,38.53,39.23,❌ Price < EMA10 < EMA20 < EMA40
WDAY,🔴 BEARISH (Below All EMAs),126.12,143.65,156.15,173.87,❌ Price < EMA10 < EMA20 < EMA40
TTWO,🔴 BEARISH (Below All EMAs),195.2,200.54,209.2,221.47,❌ Price < EMA10 < EMA20 < EMA40
XYL,🔴 BEARISH (Below All EMAs),127.34,130.12,132.95,135.84,❌ Price < EMA10 < EMA20 < EMA40
RJF,🔴 BEARISH (Below All EMAs),152.62,159.36,162.16,163.68,❌ Price < EMA10 < EMA20 < EMA40
AXON,🔴 BEARISH (Below All EMAs),423.03,438.45,466.11,507.9,❌ Price < EMA10 < EMA20 < EMA40
ROP,🔴 BEARISH (Below All EMAs),335.04,336.26,351.59,377.95,❌ Price < EMA10 < EMA20 < EMA40
PAYX,🔴 BEARISH (Below All EMAs),87.85,93.46,96.95,101.65,❌ Price < EMA10 < EMA20 < EMA40
FICO,🔴 BEARISH (Below All EMAs),1274.44,1351.4,1401.04,1483.13,❌ Price < EMA10 < EMA20 < EMA40
CTSH,🔴 BEARISH (Below All EMAs),61.85,67.48,71.76,75.4,❌ Price < EMA10 < EMA20 < EMA40
A,🔴 BEARISH (Below All EMAs),122.39,126.03,129.23,133.33,❌ Price < EMA10 < EMA20 < EMA40
IQV,🔴 BEARISH (Below All EMAs),161.11,174.09,188.88,203.65,❌ Price < EMA10 < EMA20 < EMA40
CBRE,🔴 BEARISH (Below All EMAs),144.85,150.51,155.7,159.26,❌ Price < EMA10 < EMA20 < EMA40
COIN,🔴 BEARISH (Below All EMAs),161.79,166.12,177.37,200.42,❌ Price < EMA10 < EMA20 < EMA40
EA,🔴 BEARISH (Below All EMAs),200.53,200.58,201.25,201.81,❌ Price < EMA10 < EMA20 < EMA40
