Symbol,Signal,Price,EMA10,EMA20,EMA40,Status
NVDA,🟢 BULLISH (Above All EMAs),190.4,187.03,183.91,173.91,✅ Price > EMA10 > EMA20 > EMA40
DG,🟢 BULLISH (Above All EMAs),152.1,144.15,133.82,121.52,✅ Price > EMA10 > EMA20 > EMA40
DOV,🟢 BULLISH (Above All EMAs),229.87,215.62,203.99,194.0,✅ Price > EMA10 > EMA20 > EMA40
IRM,🟢 BULLISH (Above All EMAs),109.91,99.62,96.24,95.04,✅ Price > EMA10 > EMA20 > EMA40
TPR,🟢 BULLISH (Above All EMAs),151.66,140.88,129.86,114.69,✅ Price > EMA10 > EMA20 > EMA40
EXR,🟢 BULLISH (Above All EMAs),149.68,143.26,140.65,140.4,✅ Price > EMA10 > EMA20 > EMA40
TDY,🟢 BULLISH (Above All EMAs),666.13,617.2,584.65,554.33,✅ Price > EMA10 > EMA20 > EMA40
AEE,🟢 BULLISH (Above All EMAs),110.85,106.09,103.87,100.79,✅ Price > EMA10 > EMA20 > EMA40
ULTA,🟢 BULLISH (Above All EMAs),669.45,655.62,618.39,564.83,✅ Price > EMA10 > EMA20 > EMA40
PPG,🟢 BULLISH (Above All EMAs),124.75,117.8,112.4,110.11,✅ Price > EMA10 > EMA20 > EMA40
ATO,🟢 BULLISH (Above All EMAs),180.94,174.16,171.37,165.71,✅ Price > EMA10 > EMA20 > EMA40
DTE,🟢 BULLISH (Above All EMAs),145.19,138.56,136.37,133.93,✅ Price > EMA10 > EMA20 > EMA40
HAL,🟢 BULLISH (Above All EMAs),35.03,32.92,30.44,28.02,✅ Price > EMA10 > EMA20 > EMA40
BIIB,🟢 BULLISH (Above All EMAs),194.59,185.65,175.93,165.5,✅ Price > EMA10 > EMA20 > EMA40
TPL,🟢 BULLISH (Above All EMAs),516.79,401.47,365.69,352.31,✅ Price > EMA10 > EMA20 > EMA40
STLD,🟢 BULLISH (Above All EMAs),193.93,184.44,173.12,158.71,✅ Price > EMA10 > EMA20 > EMA40
CBOE,🟢 BULLISH (Above All EMAs),292.98,273.81,263.76,250.7,✅ Price > EMA10 > EMA20 > EMA40
FE,🟢 BULLISH (Above All EMAs),50.32,47.72,46.32,44.48,✅ Price > EMA10 > EMA20 > EMA40
ON,🟢 BULLISH (Above All EMAs),68.6,63.78,59.5,56.5,✅ Price > EMA10 > EMA20 > EMA40
CFG,🟢 BULLISH (Above All EMAs),62.13,62.09,58.76,53.91,✅ Price > EMA10 > EMA20 > EMA40
HUBB,🟢 BULLISH (Above All EMAs),514.39,494.99,473.48,449.07,✅ Price > EMA10 > EMA20 > EMA40
DVN,🟢 BULLISH (Above All EMAs),43.85,41.01,38.69,36.86,✅ Price > EMA10 > EMA20 > EMA40
CNP,🟢 BULLISH (Above All EMAs),42.43,40.51,39.52,38.11,✅ Price > EMA10 > EMA20 > EMA40
PPL,🟢 BULLISH (Above All EMAs),36.72,36.41,36.03,35.36,✅ Price > EMA10 > EMA20 > EMA40
JBL,🟢 BULLISH (Above All EMAs),262.04,248.68,235.86,217.15,✅ Price > EMA10 > EMA20 > EMA40
PHM,🟢 BULLISH (Above All EMAs),137.82,132.72,128.76,124.2,✅ Price > EMA10 > EMA20 > EMA40
ADM,🟢 BULLISH (Above All EMAs),67.59,65.21,62.75,59.53,✅ Price > EMA10 > EMA20 > EMA40
NRG,🟢 BULLISH (Above All EMAs),175.69,164.67,161.4,152.63,✅ Price > EMA10 > EMA20 > EMA40
EME,🟢 BULLISH (Above All EMAs),802.14,738.59,694.17,635.52,✅ Price > EMA10 > EMA20 > EMA40
MTB,🟢 BULLISH (Above All EMAs),222.67,219.63,210.36,200.15,✅ Price > EMA10 > EMA20 > EMA40
YUM,🟢 BULLISH (Above All EMAs),165.41,158.18,154.21,149.85,✅ Price > EMA10 > EMA20 > EMA40
FIX,🟢 BULLISH (Above All EMAs),1393.93,1219.92,1084.43,909.59,✅ Price > EMA10 > EMA20 > EMA40
